City,Coordinates
NEW YORK NY,"[40.7128, -74.006]"
CHICAGO IL,"[41.8781, -87.6298]"
LOS ANGELES CA,"[34.0522, -118.2437]"
MIAMI FL,"[25.7617, -80.1918]"
SILICON VALLEY,"[37.3541, -121.9552]"
ORANGE COUNTY,"[33.7175, -117.8311]"
SAN DIEGO CA,"[32.7157, -117.1611]"
PHOENIX AZ,"[33.4484, -112.074]"
DALLAS TX,"[32.7767, -96.797]"
ATLANTA GA,"[33.749, -84.388]"
DENVER CO,"[39.7392, -104.9903]"
AUSTIN TX,"[30.2672, -97.7431]"
SEATTLE WA,"[47.6062, -122.3321]"
TUCSON AZ,"[32.2226, -110.9747]"
SACRAMENTO CA,"[38.5816, -121.4944]"
PITTSBURGH PA,"[40.4406, -79.9959]"
WASHINGTON DC,"[38.8951, -77.0369]"
NASHVILLE TN,"[36.1627, -86.7816]"
BOSTON MA,"[42.3601, -71.0589]"
